time(UTC);T2m;RH;G(h);Gb(n);Gd(h);IR(h);WS10m;WD10m;SP
20190416:0300;8.13;79.7;0;0;0;277.1;0.83;60;100670
20190416:0400;7.62;79.65;0;0;0;273.85;0.76;14;100690
20190416:0500;6.45;85.7;28;22.96;26;282.15;1.17;357;100680
20190416:0600;8.03;82.7;154;146.17;115;286.2;0.69;352;100720
20190416:0700;11.2;77.2;319;292.97;191;291.05;0.48;33;100740
20190416:0800;13.43;64.75;497;462.64;226;301.5;0.76;86;100730
20190416:0900;14.98;58.35;652;601.49;229;305;1.31;117;100740
20190416:1000;15.9;52.4;756;678.3;226;310.2;1.66;124;100740
20190416:1100;16.56;50.6;816;754.8;201;323;1.17;140;100730
20190416:1200;16.87;48.9;703;475.53;322;325.9;1.03;153;100690
20190416:1300;17.13;48.9;593;346.55;336;329.75;0.9;161;100670
20190416:1400;17.31;47.15;542;448.45;255;329.2;0.83;177;100650
20190416:1500;17.21;47.15;327;176.83;238;324.15;0.69;191;100630
20190416:1600;17.23;47.15;176;82.14;148;326.65;0.41;190;100630
20190416:1700;16.87;47.15;26;0;26;321.45;0.14;154;100650
20190416:1800;16.09;50.5;0;0;0;299;0.14;158;100670
20190416:1900;13.79;67.15;0;0;0;330.75;1.31;60;100660
20190416:2000;12.83;64.65;0;0;0;320.65;1.24;61;100690
20190416:2100;12.92;60.05;0;0;0;302.65;0.83;50;100720
20190416:2200;12.02;64.45;0;0;0;294.75;0.55;360;100700
20190416:2300;10.72;71.7;0;0;0;284.1;0.83;317;100710
20190417:0000;8.34;82.75;0;0;0;281.95;1.31;309;100710
20190417:0100;7.27;85.8;0;0;0;285.35;1.38;314;100700
20190417:0200;6.95;89;0;0;0;279.45;1.17;315;100700
20190417:0300;6.72;92.3;0;0;0;275;1.03;307;100690
20190417:0400;6.12;92.3;0;0;0;274.4;1.03;289;100700
20190417:0500;5.41;92.25;30;32.53;27;272.85;1.17;284;100730
20190417:0600;8.2;89.05;210;430.6;93;274.2;0.62;274;100790
20190417:0700;12.38;72.05;403;652.25;115;285.05;0.76;263;100820
20190417:0800;15.03;62.75;576;750.68;133;293.95;0.76;273;100840
20190417:0900;16.87;54.6;707;776.15;158;302.5;0.62;276;100850
20190417:1000;18.26;49.15;813;846.93;148;309.85;0.48;285;100840
20190417:1100;19.3;44.3;858;871.24;145;310.4;0.21;233;100800
20190417:1200;20.01;39.95;841;866.24;144;310.05;0.48;166;100760
20190417:1300;20.4;38.65;755;806.83;154;310.6;0.83;159;100750
20190417:1400;20.58;37.25;642;786.65;136;313.3;1.03;158;100720
20190417:1500;20.51;37.25;479;704.73;122;318.55;1.1;152;100720
20190417:1600;20.21;38.5;288;525.78;107;314.3;1.03;136;100710
20190417:1700;19.48;42.85;108;286.91;60;309.25;1.24;114;100720
20190417:1800;17.57;50.85;0;0;0;304.2;2;102;100740
20190417:1900;15.48;60.5;0;0;0;302.85;2.34;96;100730
20190417:2000;13.65;67.15;0;0;0;298.05;2.41;100;100800
20190417:2100;12.17;74.6;0;0;0;294.95;2.21;105;100850
20190417:2200;11.21;80.1;0;0;0;292.2;1.79;104;100890
20190417:2300;10.65;80.05;0;0;0;291.05;1.66;84;100950
20190418:0000;9.34;85.95;0;0;0;291.85;1.86;67;100990
20190418:0100;8.58;89.1;0;0;0;291.35;1.93;63;100990
20190418:0200;8.29;89.1;0;0;0;292.4;1.93;58;101020
20190418:0300;7.84;89.05;0;0;0;287;2.07;53;101020
20190418:0400;7.69;92.35;0;0;0;288.75;2.21;62;101050
20190418:0500;7.81;89.05;35;41.13;31;284.85;2.41;83;101060
20190418:0600;10.35;83;201;347.14;105;294.35;2.41;98;101130
20190418:0700;13.73;69.65;394;582.8;134;287.2;3.1;91;101190
20190418:0800;15.41;62.75;568;698.15;153;293;3.66;92;101220
20190418:0900;16.96;54.6;672;642.43;215;299;3.86;93;101210
20190418:1000;18.24;49.15;799;792.2;174;307.9;3.86;96;101200
20190418:1100;19.26;45.95;861;872.37;144;310.6;3.79;101;101180
20190418:1200;19.91;41.45;840;855.22;149;319.1;3.52;100;101150
20190418:1300;20.39;40.1;754;791.3;162;321.85;3.45;98;101120
20190418:1400;20.49;38.65;616;680.65;176;325.5;3.66;97;101090
20190418:1500;20.24;39.95;480;694.36;126;323.75;3.79;97;101100
20190418:1600;19.69;41.3;285;489.07;115;321.65;3.93;97;101110
20190418:1700;18.67;45.85;107;251.73;64;315.45;3.17;90;101140
20190418:1800;17.04;50.75;0;0;0;315.25;3.1;79;101220
20190418:1900;15.63;54.25;0;0;0;309.65;2.9;73;101240
20190418:2000;14.68;56.15;0;0;0;307.1;2.83;71;101320
20190418:2100;13.78;60.2;0;0;0;303.25;2.76;76;101400
20190418:2200;13;62.3;0;0;0;308.5;2.55;84;101450
20190418:2300;11.68;69.25;0;0;0;291.45;2.34;87;101510
20190419:0000;10.66;77.15;0;0;0;301.7;1.93;80;101520
20190419:0100;9.48;79.9;0;0;0;285.95;1.79;59;101540
20190419:0200;8.65;85.9;0;0;0;287;1.86;31;101550
20190419:0300;7.93;85.85;0;0;0;283.5;1.86;20;101570
20190419:0400;7.6;89;0;0;0;283.9;1.66;21;101580
20190419:0500;7.7;89;47;117.36;35;280.05;1.45;27;101620
20190419:0600;10.5;80.05;224;472.79;91;289.1;0.69;53;101670
