time(UTC);T2m;RH;G(h);Gb(n);Gd(h);IR(h);WS10m;WD10m;SP
20071123:0100;7.08;95.8;0;0;0;347.5;1.17;300;100250
20071123:0200;7.04;95.8;0;0;0;347;1.1;312;100230
20071123:0300;6.99;95.8;0;0;0;346.4;1.1;335;100160
20071123:0400;7.03;95.8;0;0;0;346.6;1.17;339;100090
20071123:0500;7.01;95.8;0;0;0;347.55;0.9;288;100110
20071123:0600;7.07;95.8;0;0;0;348.15;1.24;261;100130
20071123:0700;7.56;95.8;26;12.09;25;349.9;1.66;308;100200
20071123:0800;7.77;95.8;16;0;16;350.65;1.86;329;100230
20071123:0900;8.07;92.4;26;0;26;351.05;1.79;327;100270
20071123:1000;8.17;95.8;70;0;70;350.3;1.38;326;100300
20071123:1100;8.43;92.4;87;0;87;350.1;0.9;306;100260
20071123:1200;8.5;95.85;61;0;61;350.3;0.9;256;100230
20071123:1300;8.5;95.85;37;0;37;350.5;1.17;240;100220
20071123:1400;8.33;99.4;28;0;28;351.25;1.24;239;100220
20071123:1500;8.2;99.4;27;24.96;25;351.45;1.24;242;100230
20071123:1600;7.99;95.8;0;0;0;351.25;1.17;240;100240
20071123:1700;7.91;95.8;0;0;0;352.4;1.24;246;100270
20071123:1800;7.88;95.8;0;0;0;352.6;1.24;248;100290
20071123:1900;7.95;95.8;0;0;0;352.6;1.31;266;100320
20071123:2000;7.95;95.8;0;0;0;352.6;1.17;251;100350
20071123:2100;7.88;95.8;0;0;0;352.2;1.1;246;100350
20071123:2200;7.88;95.8;0;0;0;353;0.97;250;100360
20071123:2300;7.92;95.8;0;0;0;353.55;1.1;260;100340
20071124:0000;8.01;95.8;0;0;0;353.95;1.45;256;100300
20071124:0100;8.05;95.8;0;0;0;354.05;1.66;259;100300
20071124:0200;8.13;95.8;0;0;0;354.15;1.59;259;100270
20071124:0300;8.16;95.8;0;0;0;354.55;1.45;256;100250
20071124:0400;8.19;99.4;0;0;0;354.95;1.38;243;100220
20071124:0500;8.19;99.4;0;0;0;353.95;1.31;238;100210
20071124:0600;8.19;99.4;0;0;0;354.75;1.24;238;100220
20071124:0700;8.18;95.8;19;0;19;353.75;0.55;242;100400
20071124:0800;8.25;99.4;42;0;42;352.6;0.69;290;100440
20071124:0900;8.71;99.4;56;0;56;353.55;0.62;294;100460
20071124:1000;9.28;95.85;76;0;76;354.35;0.76;275;100470
20071124:1100;9.52;95.85;58;0;58;354.15;0.97;293;100470
20071124:1200;9.94;92.5;72;0;72;356.1;1.1;323;100420
20071124:1300;10.3;92.5;52;0;52;357.45;1.17;336;100400
20071124:1400;10.37;89.25;28;0;28;357.25;1.31;347;100400
20071124:1500;10.37;89.25;31;51.26;27;358.2;1.59;356;100380
20071124:1600;10.22;89.2;0;0;0;359.4;1.72;4;100410
20071124:1700;10.02;89.2;0;0;0;358.6;1.59;9;100450
20071124:1800;9.74;92.45;0;0;0;355.7;1.31;353;100460
20071124:1900;9.53;92.45;0;0;0;360.15;0.83;272;100550
20071124:2000;9.39;92.45;0;0;0;359.55;1.1;256;100600
20071124:2100;9.28;95.85;0;0;0;359;1.17;251;100620
20071124:2200;9.24;95.85;0;0;0;358.6;1.24;240;100650
20071124:2300;9.19;95.85;0;0;0;357.85;1.45;231;100650
20071125:0000;9.15;95.85;0;0;0;357.65;1.52;228;100650
20071125:0100;9.11;95.85;0;0;0;357.75;1.59;229;100630
20071125:0200;9.08;95.85;0;0;0;357.25;1.45;230;100640
20071125:0300;9.07;95.85;0;0;0;357.65;1.45;226;100620
20071125:0400;8.99;95.85;0;0;0;354.55;1.45;229;100610
20071125:0500;8.71;99.4;0;0;0;342.35;1.45;248;100650
20071125:0600;8.47;95.85;0;0;0;338.85;1.31;260;100650
20071125:0700;8.69;99.4;27;39.67;24;346.2;1.31;225;100680
20071125:0800;9.27;99.4;100;61.46;87;334.6;1.59;228;100720
20071125:0900;10.34;92.5;120;12.67;116;336.75;2.21;235;100720
20071125:1000;11.19;86.1;172;28.84;161;336.95;2.41;236;100730
20071125:1100;12.22;80.2;122;0;122;335.2;2.48;241;100660
20071125:1200;12.83;77.45;149;10.48;145;338.85;2.48;241;100600
20071125:1300;13.34;72.1;223;262.61;140;339.85;2.62;240;100510
20071125:1400;13.28;72.1;173;519.22;63;341;2.28;245;100460
20071125:1500;12.84;74.7;45;263.05;25;337.5;1.66;248;100420
20071125:1600;11.85;80.15;0;0;0;332.1;1.79;268;100410
20071125:1700;10.25;86;0;0;0;295.1;2.07;279;100430
20071125:1800;9.16;89.1;0;0;0;298.6;2.21;284;100430
20071125:1900;8.18;92.4;0;0;0;283.9;2.41;268;100380
20071125:2000;7.64;95.8;0;0;0;278.3;2.48;266;100360
20071125:2100;7.18;95.8;0;0;0;271.9;2.69;262;100340
20071125:2200;6.89;92.35;0;0;0;265.9;2.9;258;100310
20071125:2300;6.82;95.8;0;0;0;268.6;2.97;260;100280
20071126:0000;6.77;99.4;0;0;0;271.9;3.03;258;100230
20071126:0100;6.62;95.8;0;0;0;270.05;3.03;257;100210
20071126:0200;6.6;99.4;0;0;0;282.35;3.03;258;100180
20071126:0300;6.29;95.8;0;0;0;276.15;3.03;261;100120
20071126:0400;6.03;92.3;0;0;0;274.4;3.1;261;100070
20071126:0500;5.8;95.75;0;0;0;270.75;3.03;260;100120
20071126:0600;5.6;88.9;0;0;0;264.55;2.97;260;100150
20071126:0700;6.6;95.8;45;318.78;22;307.1;3.24;263;100140
20071126:0800;7.46;89;153;336.5;83;294.55;2.83;268;100190
20071126:0900;9.51;71.5;224;262.5;142;281;2.62;284;100260
20071126:1000;11.75;55.4;355;653.26;108;261.45;2.48;306;100340
20071126:1100;13.4;39.8;344;469.15;156;269.75;3.03;339;100360
20071126:1200;13.96;35.6;345;591.5;121;264.35;3.45;355;100330
20071126:1300;14.01;35.6;259;446.53;119;263;3.24;0;100320
20071126:1400;13.47;38.3;174;524.68;64;262.8;2.9;2;100340
20071126:1500;12.12;39.4;48;364.14;21;262.2;2.55;351;100370
20071126:1600;9.86;42;0;0;0;256.4;2.55;340;100420
20071126:1700;8.07;44.85;0;0;0;256.2;2.62;342;100490
20071126:1800;6.83;44.6;0;0;0;253.5;2.76;349;100550
20071126:1900;6.79;44.45;0;0;0;256.8;2.97;359;100530
20071126:2000;6.07;44.45;0;0;0;251.75;2.97;2;100570
20071126:2100;5.48;46.1;0;0;0;249.85;2.97;8;100630
20071126:2200;4.87;47.85;0;0;0;251;2.83;20;100680
20071126:2300;4.37;51.7;0;0;0;258.35;2.62;28;100700
20071127:0000;3.86;55.85;0;0;0;258.95;2.48;27;100720
20071127:0100;3.56;60.3;0;0;0;267.15;2.21;20;100720
20071127:0200;3.75;62.7;0;0;0;289.5;1.93;14;100750
20071127:0300;3.52;62.7;0;0;0;283.3;1.66;8;100750
20071127:0400;3.68;65.2;0;0;0;299.95;1.45;358;100780
20071127:0500;3.84;62.8;0;0;0;307.3;1.45;354;100830
20071127:0600;3.43;65.2;0;0;0;291.05;1.59;355;100880
20071127:0700;3.75;79.15;36;174.54;24;299.95;1.45;9;100960
20071127:0800;5.48;76.5;151;347.02;80;313.3;1.1;1;100990
20071127:0900;7.84;63.6;144;38.83;132;307.9;1.03;5;101050
20071127:1000;8.7;66.15;265;234.73;177;313.1;0.9;9;101080
20071127:1100;9.59;63.9;385;724.11;97;311.55;0.97;36;101070
20071127:1200;10.16;64;311;422.9;152;310.6;1.17;57;101020
20071127:1300;10.21;64;283;633.22;86;314.85;1.31;76;100970
20071127:1400;10.16;64;172;525.15;63;308.1;1.1;75;100960
20071127:1500;9.84;66.35;43;276.34;23;306.35;0.9;33;100970
20071127:1600;8.51;74.05;0;0;0;292.8;1.45;2;100990
20071127:1700;6.38;82.55;0;0;0;268.2;1.79;358;101030
20071127:1800;4.77;88.85;0;0;0;265.1;1.79;0;101060
20071127:1900;4.28;92.2;0;0;0;267.05;1.72;27;101120
20071127:2000;3.64;92.15;0;0;0;268.6;1.79;22;101150
20071127:2100;3.27;95.7;0;0;0;271.3;1.66;18;101180
20071127:2200;2.81;95.7;0;0;0;269.75;1.66;11;101170
20071127:2300;2.29;95.7;0;0;0;269.6;1.52;2;101170
20071128:0000;2.41;95.7;0;0;0;284.1;1.38;355;101170
20071128:0100;2.58;99.4;0;0;0;290.6;1.31;353;101150
20071128:0200;2.75;99.4;0;0;0;293.95;1.38;353;101140
20071128:0300;3.2;95.7;0;0;0;304.8;1.45;357;101110
20071128:0400;3.41;95.7;0;0;0;302.65;1.52;359;101070
20071128:0500;3.52;95.7;0;0;0;299.75;1.66;2;101100
20071128:0600;3.74;95.7;0;0;0;305.55;1.66;3;101110
20071128:0700;4.09;85.5;26;61.15;22;308.1;1.52;5;101140
20071128:0800;5.09;85.6;90;44.72;81;293.2;1.17;6;101150
20071128:0900;7.67;73.9;103;3.27;102;296.65;1.03;18;101180
20071128:1000;8.99;68.8;123;2.69;122;303.05;1.24;36;101190
20071128:1100;9.48;66.35;120;0;120;306.55;1.66;45;101160
20071128:1200;9.55;66.35;133;5.36;131;323;1.72;41;101100
20071128:1300;9.73;68.9;139;32.38;129;336.75;2;37;101030
20071128:1400;9.69;68.9;114;116.74;90;316.6;2;36;101030
20071128:1500;9.19;71.4;26;42.42;23;320.85;1.79;25;100990
20071128:1600;8.27;76.8;0;0;0;315.65;2;16;100970
20071128:1700;7.75;79.65;0;0;0;321.25;1.93;14;100980
20071128:1800;7.14;82.6;0;0;0;314.3;1.72;18;100940
20071128:1900;6.94;82.6;0;0;0;324.15;1.1;55;100920
20071128:2000;6.65;85.7;0;0;0;320.5;1.03;66;100880
20071128:2100;6.36;85.7;0;0;0;313.5;1.03;63;100870
20071128:2200;6.74;85.7;0;0;0;320.5;0.76;63;100810
20071128:2300;6.74;82.55;0;0;0;305.55;0.41;64;100780
20071129:0000;6.35;82.55;0;0;0;299;0.14;87;100740
20071129:0100;6.03;82.55;0;0;0;308;0.48;172;100680
20071129:0200;5.15;88.85;0;0;0;309.05;0.83;179;100630
20071129:0300;4.88;88.85;0;0;0;306.55;0.83;184;100570
20071129:0400;4.66;92.25;0;0;0;302.1;0.76;186;100490
20071129:0500;4.67;92.25;0;0;0;307.9;0.62;190;100470
20071129:0600;4.79;92.25;0;0;0;304.4;0.34;208;100440
20071129:0700;4.8;92.25;30;128.71;22;299.75;0.48;75;100440
20071129:0800;4.94;88.85;153;419.22;70;285.85;0.48;51;100430
20071129:0900;6.01;82.55;246;439.58;113;296.1;0.9;38;100460
20071129:1000;6.92;79.55;354;732.21;84;295.1;1.17;38;100440
20071129:1100;7.34;76.7;385;770.34;83;295.7;1.24;46;100380
20071129:1200;7.46;76.7;360;755.04;80;304.05;1.03;60;100290
20071129:1300;7.74;76.7;268;564.24;95;319.9;0.9;86;100230
20071129:1400;7.82;73.9;171;569.43;55;298.4;0.83;86;100190
20071129:1500;7.64;73.9;44;346.98;20;323.75;0.83;56;100160
20071129:1600;6.88;79.55;0;0;0;295.9;0.97;35;100160
20071129:1700;6.01;82.55;0;0;0;298.05;0.9;22;100160
20071129:1800;5.59;85.65;0;0;0;290.65;0.76;1;100150
20071129:1900;4.2;92.2;0;0;0;280.8;1.17;63;100130
20071129:2000;3.55;92.15;0;0;0;273.05;1.31;39;100130
20071129:2100;3.53;92.15;0;0;0;285.25;1.24;22;100120
20071129:2200;4.06;92.2;0;0;0;303.85;0.97;7;100100
20071129:2300;4.2;88.8;0;0;0;284.3;0.83;338;100070
20071130:0000;4.07;88.8;0;0;0;263.2;0.83;293;100020
20071130:0100;2.7;95.7;0;0;0;271.8;1.17;275;100000
20071130:0200;1.83;95.65;0;0;0;269.6;1.45;269;100000
20071130:0300;1.04;99.35;0;0;0;259.5;1.72;250;99950
20071130:0400;0.65;99.4;0;0;0;261.25;1.86;256;99940
20071130:0500;0.73;99.4;0;0;0;263.95;2;257;99940
20071130:0600;0.69;99.4;0;0;0;259.15;2.14;256;99930
20071130:0700;0.8;95.65;24;67.84;20;270.55;1.86;250;99930
20071130:0800;2.16;95.65;159;518.49;58;263.4;1.66;256;99970
20071130:0900;4.23;85.5;275;664.53;76;269;1.72;250;100010
20071130:1000;6.2;76.55;315;505.72;130;267.45;1.79;245;100000
20071130:1100;7.88;71.25;382;770.53;82;259.1;1.79;244;99990
20071130:1200;8.84;71.35;358;754.53;80;261.65;1.79;243;99950
20071130:1300;9.68;66.35;274;620.63;85;265.5;1.72;237;99920
20071130:1400;9.84;66.35;156;425.82;70;265.9;1.45;230;99940
20071130:1500;9.18;68.8;32;118.1;24;270.75;1.24;216;99960
20071130:1600;6.33;84.23;0;0;0;258.87;1.08;203;100020
20071130:1700;5.72;85.23;0;0;0;260.71;1.11;150;100070
20071130:1800;5.1;86.22;0;0;0;262.54;1.14;102;100110
20071130:1900;4.49;87.22;0;0;0;264.37;1.17;82;100160
20071130:2000;3.87;88.22;0;0;0;266.21;1.19;96;100200
20071130:2100;3.26;89.21;0;0;0;268.04;1.22;104;100250
20071130:2200;2.65;90.21;0;0;0;269.87;1.25;109;100260
20071130:2300;2.03;91.21;0;0;0;271.71;1.28;118;100290
20131201:0000;1.42;92.2;0;0;0;273.54;1.31;259;100920
20131201:0100;0.8;93.2;0;0;0;275.38;1.34;268;100950
20131201:0200;0.19;94.2;0;0;0;277.21;1.37;276;100960
20131201:0300;-0.42;95.19;0;0;0;279.04;1.4;278;100980
20131201:0400;-1.04;96.19;0;0;0;280.88;1.43;280;100960
20131201:0500;-1.65;97.19;0;0;0;282.71;1.46;271;100960
20131201:0600;-2.27;98.18;0;0;0;284.54;1.49;259;100960
20131201:0700;-2.88;99.18;25;107.45;19;286.38;1.52;242;101020
20131201:0800;-0.79;95.6;168;636.44;46;245.6;1.45;230;101050
20131201:0900;1.24;95.65;288;769.09;60;254.85;1.45;226;101070
20131201:1000;3;92.15;364;812.7;69;271.3;1.38;243;101050
20131201:1100;4.54;82.35;392;827.39;72;281.2;1.24;255;100980
20131201:1200;6.14;73.7;369;824.8;67;243.65;1.1;244;100880
20131201:1300;7.08;68.5;295;773.4;61;244.6;0.97;229;100810
20131201:1400;7.32;68.5;175;623.98;50;245.75;0.69;251;100760
20131201:1500;6.79;71.05;44;391.46;18;243.65;0.97;265;100760
20131201:1600;4.45;88.8;0;0;0;239.6;1.31;270;100770
20131201:1700;2.59;88.65;0;0;0;237.85;1.31;279;100780
20131201:1800;2.06;88.65;0;0;0;239;1.1;275;100800
20131201:1900;2.67;88.65;0;0;0;230.5;0.83;349;100780
20131201:2000;-0.05;95.6;0;0;0;235.15;1.38;333;100830
20131201:2100;-1.89;95.6;0;0;0;246.15;1.59;320;100860
20131201:2200;-2.52;91.85;0;0;0;239.95;1.72;307;100870
20131201:2300;-2.65;95.55;0;0;0;237.85;1.66;294;100900
20131202:0000;-2.41;91.85;0;0;0;253.3;1.66;301;100890
20131202:0100;-1.93;88.35;0;0;0;262.5;1.72;310;100880
20131202:0200;-1.64;91.9;0;0;0;263.2;1.72;302;100900
20131202:0300;-1.56;91.9;0;0;0;264.95;1.59;286;100920
20131202:0400;-1.91;88.35;0;0;0;258.75;1.45;276;100930
20131202:0500;-2.45;91.85;0;0;0;248.1;1.17;280;100960
20131202:0600;-2.16;91.85;0;0;0;257;0.83;279;101020
20131202:0700;-0.83;75.55;23;113.64;17;266.65;0.69;291;101220
20131202:0800;0.25;78.75;165;625.44;47;251.6;0.55;290;101320
20131202:0900;3.18;76.1;289;793.77;56;247.5;0.55;268;101390
20131202:1000;6.13;70.95;361;804.98;71;242.5;0.69;245;101430
20131202:1100;8.19;59;391;832.73;71;245.4;0.69;220;101440
20131202:1200;9.01;52.7;371;840.73;65;247.9;0.76;179;101380
20131202:1300;9.29;50.85;297;798.12;57;251.4;0.9;159;101350
20131202:1400;9.07;54.8;176;648.86;47;251.4;0.83;145;101370
20131202:1500;8.09;68.7;43;383.34;18;249.65;0.69;133;101440
20131202:1600;7.16;61.1;0;0;0;244.05;0.48;112;101520
20131202:1700;6.14;63.25;0;0;0;240.95;0.76;40;101590
20131202:1800;2.9;79;0;0;0;242.85;1.66;16;101670
20131202:1900;2.88;76;0;0;0;240.15;1.66;108;101720
20131202:2000;4.34;73.4;0;0;0;241.7;0.97;102;101770
20131202:2100;3.41;76.1;0;0;0;242.1;0.48;31;101810
20131202:2200;1.07;81.95;0;0;0;242.5;1.38;339;101840
20131202:2300;-1.52;91.9;0;0;0;242.5;1.79;326;101840
20131203:0000;-1.99;88.35;0;0;0;240.15;1.79;323;101850
20131203:0100;-2.04;88.3;0;0;0;242;1.86;324;101830
20131203:0200;-2.24;88.3;0;0;0;240.35;1.79;320;101830
20131203:0300;-2.34;88.3;0;0;0;243.65;1.72;314;101800
20131203:0400;-2.61;91.85;0;0;0;242.3;1.72;306;101740
20131203:0500;-2.87;88.25;0;0;0;238.4;1.66;300;101720
20131203:0600;-2.88;88.25;0;0;0;241.5;1.45;288;101710
20131203:0700;-3.15;95.55;21;100.34;16;240.55;1.31;261;101720
20131203:0800;-1.01;88.45;163;629.94;46;241.15;0.69;245;101720
20131203:0900;2.38;88.65;282;756.75;62;244.4;0.34;246;101710
20131203:1000;5.43;76.4;352;752.17;83;254.1;0.14;18;101700
20131203:1100;7.45;65.95;346;557.72;133;248.85;0.83;52;101630
20131203:1200;8.46;59;356;754.35;83;254.65;1.1;55;101550
20131203:1300;8.82;56.9;275;632.17;86;251.6;1.03;54;101490
20131203:1400;8.68;56.9;171;592.69;54;250.8;0.83;59;101450
20131203:1500;7.72;71.25;44;452.23;15;248.5;0.69;72;101430
20131203:1600;6.65;65.85;0;0;0;245.95;0.69;70;101470
20131203:1700;5;73.45;0;0;0;241.5;0.97;51;101480
20131203:1800;3.55;79.15;0;0;0;239.4;1.03;46;101510
20131203:1900;2.04;88.65;0;0;0;249.05;1.24;22;101510
20131203:2000;2.24;88.65;0;0;0;247.5;0.97;1;101520
20131203:2100;1.63;88.6;0;0;0;246.15;1.03;327;101530
20131203:2200;-0.14;92;0;0;0;244.4;1.38;295;101520
20131203:2300;-1.29;91.95;0;0;0;242.5;1.45;283;101490
20131204:0000;-2.16;95.55;0;0;0;242.65;1.59;269;101470
20131204:0100;-2.55;95.55;0;0;0;243;1.79;266;101440
20131204:0200;-2.64;95.55;0;0;0;242.5;1.86;266;101400
20131204:0300;-2.73;95.55;0;0;0;243.45;1.86;265;101390
20131204:0400;-2.47;91.85;0;0;0;252.35;1.86;261;101340
20131204:0500;-2.67;95.55;0;0;0;243.45;1.93;257;101300
20131204:0600;-2.81;95.55;0;0;0;245.95;2;254;101270
20131204:0700;-2.47;91.85;19;85.21;15;246.55;2.14;249;101280
20131204:0800;-1.28;91.95;158;596.01;49;246.55;1.93;249;101290
20131204:0900;1.15;92.05;275;715.3;69;247.9;1.93;251;101290
20131204:1000;3.93;82.25;352;768.78;79;255.45;1.86;247;101250
20131204:1100;6.15;70.95;387;827.08;73;247.5;1.86;243;101220
20131204:1200;7.61;66.05;365;825.11;68;243.85;1.72;241;101130
20131204:1300;8.38;63.7;278;669.24;79;245.4;1.45;237;101070
20131204:1400;8.37;66.15;173;632.26;49;246.55;1.24;232;101020
20131204:1500;7.3;73.9;41;380.03;17;245.95;1.45;230;101000
20131204:1600;4.67;85.55;0;0;0;244.6;1.66;240;100990
20131204:1700;2.47;92.1;0;0;0;241.7;1.66;259;100980
20131204:1800;1.38;92.05;0;0;0;240.95;1.59;273;100960
20131204:1900;0.6;85.2;0;0;0;239.75;1.45;278;100950
20131204:2000;0.08;85.15;0;0;0;239.6;1.45;263;100920
20131204:2100;-1.12;88.4;0;0;0;240.35;1.72;263;100930
20131204:2200;-1.74;88.35;0;0;0;240.95;1.86;257;100900
20131204:2300;-1.96;84.95;0;0;0;242.1;1.93;257;100910
20131205:0000;-2.04;84.85;0;0;0;242.85;2;257;100870
20131205:0100;-2.02;81.65;0;0;0;243.55;1.93;256;100840
20131205:0200;-2.06;84.85;0;0;0;244.2;1.93;255;100820
20131205:0300;-2.05;88.3;0;0;0;245.2;1.93;252;100800
20131205:0400;-1.97;84.95;0;0;0;245.2;1.86;246;100780
20131205:0500;-1.91;84.95;0;0;0;245.2;1.72;236;100800
20131205:0600;-1.82;88.35;0;0;0;245.75;1.45;232;100830
20131205:0700;-2.42;88.3;17;90.64;13;247.15;1.66;241;100890
20131205:0800;-0.61;91.95;154;599.59;46;248.3;1.24;231;100960
20131205:0900;2.92;85.35;261;651.79;75;251.4;0.97;221;101020
20131205:1000;5.41;76.4;345;771.22;73;254.85;0.76;207;101060
20131205:1100;7.14;71.15;334;529.8;134;263.95;0.69;182;101050
20131205:1200;8.13;68.7;349;759.53;77;262.2;0.97;167;100960
20131205:1300;8.71;68.8;289;787.55;56;262.2;0.69;158;100890
20131205:1400;8.71;68.8;168;605.27;50;262.8;0.55;152;100880
20131205:1500;7.74;76.8;38;337.1;17;269.75;1.66;171;100820
20131205:1600;5.48;88.85;0;0;0;267.85;1.66;187;100760
20131205:1700;4.31;92.2;0;0;0;253.15;1.03;239;100740
20131205:1800;2.91;95.7;0;0;0;251.4;1.24;276;100700
20131205:1900;3.25;92.15;0;0;0;251.75;1.03;338;100690
20131205:2000;2.4;95.65;0;0;0;248.5;1.03;273;100640
20131205:2100;-0.53;95.6;0;0;0;249.85;1.93;242;100580
20131205:2200;-1.04;95.6;0;0;0;248.5;2.14;245;100510
20131205:2300;-0.83;91.95;0;0;0;249.85;2.48;259;100470
20131206:0000;-0.28;88.45;0;0;0;252.15;2.69;261;100350
20131206:0100;0.06;85.15;0;0;0;250.7;2.83;267;100270
20131206:0200;0.53;85.2;0;0;0;262.2;2.9;266;100190
20131206:0300;0.76;85.2;0;0;0;258.95;2.97;267;100130
20131206:0400;1.08;88.55;0;0;0;262.05;3.03;265;100080
20131206:0500;1.63;88.6;0;0;0;272.85;3.1;261;100060
20131206:0600;1.85;92.05;0;0;0;267.25;3.31;259;100050
20131206:0700;2.48;95.65;15;48.3;13;264.55;3.52;259;100030
20131206:0800;3.58;92.15;147;540.98;51;260.85;3.59;259;100090
20131206:0900;5.46;88.85;269;735.4;61;261.85;3.52;258;100090
20131206:1000;7.75;79.7;343;770.6;73;269.75;3.86;257;100130
20131206:1100;9.47;74.2;372;788.35;76;280.05;4.14;256;100100
20131206:1200;10.51;69.1;345;743.55;80;263.4;4.07;255;100070
20131206:1300;11.02;66.65;281;743.71;62;258.35;3.79;253;100040
20131206:1400;10.98;66.65;165;577.6;53;263.75;3.45;258;100060
20131206:1500;9.63;69;38;357.41;16;259.7;3.38;262;100090
20131206:1600;7.51;73.9;0;0;0;254.65;3.31;273;100130
20131206:1700;6.31;68.3;0;0;0;249.65;3.24;288;100180
20131206:1800;5.77;58.45;0;0;0;247.9;3.38;304;100210
20131206:1900;6.38;73.7;0;0;0;253.3;3.24;304;100180
20131206:2000;5.72;56.2;0;0;0;250.05;3.24;324;100260
20131206:2100;5.09;47.85;0;0;0;249.65;3.31;336;100330
20131206:2200;4.47;47.6;0;0;0;247.3;3.31;338;100390
20131206:2300;4.03;45.7;0;0;0;245.6;3.31;340;100460
20131207:0000;3.55;45.55;0;0;0;242.85;3.24;340;100530
20131207:0100;2.99;49.15;0;0;0;244.35;3.03;341;100550
20131207:0200;2.38;51;0;0;0;236.3;2.9;343;100600
20131207:0300;2.09;51;0;0;0;234.15;2.41;342;100620
20131207:0400;2.42;51;0;0;0;238.05;1.52;334;100610
20131207:0500;2.69;47.15;0;0;0;236.85;1.03;302;100680
20131207:0600;1.49;55.05;0;0;0;229.5;1.17;284;100750
20131207:0700;0.93;59.7;12;0;12;234.75;1.79;304;100700
20131207:0800;3.63;53.5;139;463.17;58;234.75;0.97;307;100820
20131207:0900;5.05;60.65;268;738.19;61;236.65;0.41;17;100930
20131207:1000;7.09;52.35;347;795.57;70;239.75;0.76;86;101040
20131207:1100;8.05;52.45;374;800.43;75;246.35;1.1;120;101090
20131207:1200;8.61;52.7;352;786.36;73;249.45;1.24;156;101090
20131207:1300;8.87;54.8;282;750.32;62;251.95;1.24;174;101090
20131207:1400;8.7;56.9;167;606.3;50;255.85;0.83;179;101100
20131207:1500;7.98;68.6;37;328.27;17;252.35;0.34;112;101130
20131207:1600;6.74;65.85;0;0;0;249.05;0.62;75;101170
20131207:1700;5.47;76.4;0;0;0;256.6;0.69;83;101210
20131207:1800;4.57;79.3;0;0;0;257;0.62;91;101250
20131207:1900;2.37;92.1;0;0;0;247.3;1.79;116;101150
20131207:2000;1.82;95.65;0;0;0;245.2;1.72;110;101210
20131207:2100;2.49;95.65;0;0;0;244.2;1.38;99;101250
20131207:2200;2.58;95.7;0;0;0;242.85;1.1;78;101300
20131207:2300;2.35;99.4;0;0;0;241.5;0.97;48;101320
20131208:0000;1.71;99.4;0;0;0;241.9;1.03;31;101340
20131208:0100;0.17;95.65;0;0;0;262.15;1.1;14;101330
20131208:0200;-0.64;95.6;0;0;0;262.8;0.76;356;101340
20131208:0300;-0.85;95.6;0;0;0;264.75;0.48;309;101330
20131208:0400;-0.99;95.6;0;0;0;277.1;0.41;261;101310
20131208:0500;-1.29;95.6;0;0;0;268.05;0.55;232;101320
20131208:0600;-1.31;95.6;0;0;0;287;0.62;237;101370
20131208:0700;-2.03;95.55;9;0;9;254.1;0.76;280;101440
20131208:0800;-1.23;95.6;95;121.81;74;267.65;0.69;271;101490
20131208:0900;1.42;95.65;145;71.92;125;282.55;0.69;246;101550
20131208:1000;3.21;92.15;128;5.78;126;286.2;0.97;228;101570
20131208:1100;5.25;85.6;160;18.83;153;273.85;0.97;228;101570
20131208:1200;6.7;79.55;236;186.8;170;276.75;0.9;232;101540
20131208:1300;7.55;76.7;183;157.5;137;278.5;0.76;228;101510
20131208:1400;7.75;73.95;108;124.89;84;268.6;0.69;216;101500
20131208:1500;7.39;76.7;28;132.42;20;275.2;0.69;201;101540
20131208:1600;6.39;82.55;0;0;0;259.5;0.48;164;101570
20131208:1700;5.42;88.85;0;0;0;264.75;0.48;127;101620
20131208:1800;4.52;92.2;0;0;0;262.8;0.48;111;101650
20131208:1900;1.59;99.4;0;0;0;251.2;0.55;50;101680
20131208:2000;0.36;99.4;0;0;0;274.2;0.21;321;101720
20131208:2100;-0.45;95.6;0;0;0;287.2;0.48;308;101710
20131208:2200;-0.97;95.6;0;0;0;282.15;0.76;302;101710
20131208:2300;-0.53;99.4;0;0;0;300.55;1.03;297;101700
20131209:0000;-0.58;95.6;0;0;0;291.85;1.17;292;101690
20131209:0100;-0.16;95.6;0;0;0;302.4;1.17;288;101670
20131209:0200;-0.3;95.6;0;0;0;298.8;1.17;282;101650
20131209:0300;-0.33;95.6;0;0;0;296.3;1.03;278;101640
20131209:0400;-0.32;95.6;0;0;0;294.95;1.03;266;101600
20131209:0500;-0.16;95.6;0;0;0;297.45;1.03;264;101630
20131209:0600;-0.42;95.6;0;0;0;285.45;1.03;264;101640
20131209:0700;0.33;95.65;4;0;4;298.8;1.03;256;101710
20131209:0800;1.01;95.65;68;23.53;64;287.95;1.03;260;101720
20131209:0900;3.67;92.15;180;188.49;128;308.1;1.1;266;101740
20131209:1000;5.34;92.25;173;52.31;155;301.1;1.24;265;101730
20131209:1100;6.71;89;247;183.76;179;311.75;1.45;270;101690
20131209:1200;7.38;89;279;366.52;150;313.5;1.59;274;101640
20131209:1300;8.12;82.75;206;257.69;131;312.75;1.86;276;101600
20131209:1400;8.19;85.9;169;652.84;44;318.15;1.66;265;101590
20131209:1500;7.43;92.35;37;349.89;16;291.05;1.45;256;101570
20131209:1600;6.19;95.8;0;0;0;287.95;1.72;264;101600
20131209:1700;4.78;99.4;0;0;0;278.5;1.72;276;101600
20131209:1800;3.53;99.4;0;0;0;274.2;1.52;281;101620
