classe,residenza,mercato,periodo,kwh,f1,f2,f3,anno
0<potenza_impegnata<=1.5,Non Residente,Tutti,04,26.117,0.2995442765152521,0.25583883856915723,0.4446168849155906,2025
potenza_impegnata>6,Residente,Servizio a tutele graduali domestici non vulnerabili,04,427.294,0.326512309341432,0.2568548479090983,0.41663284274946977,2025
potenza_impegnata>6,Tutti,Servizio a tutele graduali domestici non vulnerabili,04,426.813,0.3414080990381211,0.2508899847411358,0.4077019162207432,2025
0<potenza_impegnata<=1.5,Residente,Tutti,04,59.328,0.29091192667893195,0.2817539758845759,0.42733409743649203,2025
0<potenza_impegnata<=1.5,Tutti,Tutti,04,41.533,0.29342472582799056,0.2742533970175662,0.43232187715444326,2025
1.5<potenza_impegnata<=3,Tutti,Tutti,04,119.231,0.30584029642927085,0.29708060680354964,0.39707909676717945,2025
3<potenza_impegnata<=4.5,Residente,Servizio a tutele graduali domestici non vulnerabili,04,182.956,0.3063052659522382,0.30300938885156536,0.39068534519619647,2025
3<potenza_impegnata<=4.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,04,146.695,0.32206045112313136,0.28505126232501077,0.39288828655185787,2025
4.5<potenza_impegnata<=6,Residente,Tutti,04,216.471,0.3163836571941205,0.2909006264765408,0.3927157163293387,2025
1.5<potenza_impegnata<=3,Non Residente,Servizio a tutele graduali domestici non vulnerabili,04,79.422,0.30469348282418235,0.28936893825321,0.40593757892260773,2025
4.5<potenza_impegnata<=6,Tutti,Tutti,04,210.163,0.32200317846551535,0.2875125425771291,0.39048427895735555,2025
potenza_impegnata>6,Residente,Tutti,04,439.902,0.32679112929107756,0.2675097758624712,0.40569909484645106,2025
potenza_impegnata>6,Tutti,Tutti,04,471.904,0.33612738333887204,0.25969648091280256,0.4041761357483255,2025
potenza_impegnata>6,Tutti,Mercato Libero,04,482.608,0.3363799467433954,0.26069130226097625,0.40292875099562836,2025
potenza_impegnata>6,Non Residente,Mercato Libero,04,578.387,0.3542154762235312,0.24341961272160087,0.4023649110548679,2025
4.5<potenza_impegnata<=6,Tutti,Mercato Libero,04,211.138,0.32191353102087306,0.2882092020938714,0.38987726688525554,2025
4.5<potenza_impegnata<=6,Residente,Mercato Libero,04,217.827,0.31590504238840533,0.29188334046033104,0.3922116171512636,2025
3<potenza_impegnata<=4.5,Non Residente,Mercato Libero,04,144.632,0.3239938714921455,0.2911096055303844,0.3848965229774702,2025
